Feature,Importance
EXT_SOURCE_3,0.03848903
EXT_SOURCE_2,0.0356253
NAME_EDUCATION_TYPE_Higher education,0.018084086
CODE_GENDER_M,0.015841499
NAME_INCOME_TYPE_Pensioner,0.0143935755
EXT_SOURCE_1,0.013866797
NAME_EDUCATION_TYPE_Secondary / secondary special,0.012644602
HAS_CAR,0.012132796
FLAG_DOCUMENT_3,0.011898472
NAME_CONTRACT_TYPE_Revolving loans,0.011807603
FLAG_OWN_CAR_Y,0.010824639
DAYS_EMPLOYED,0.010433371
YEARS_EMPLOYED,0.009292685
DEF_60_CNT_SOCIAL_CIRCLE,0.009084057
AMT_GOODS_PRICE,0.008987741
REGION_RATING_CLIENT_W_CITY,0.008679317
NAME_FAMILY_STATUS_Married,0.008663728
NAME_INCOME_TYPE_Working,0.007836684
DAYS_BIRTH,0.007633517
AMT_CREDIT,0.0075267623
WALLSMATERIAL_MODE_Panel,0.0074632186
REG_CITY_NOT_LIVE_CITY,0.0074487505
NAME_INCOME_TYPE_State servant,0.0073098224
AMT_REQ_CREDIT_BUREAU_QRT,0.0071946145
ORGANIZATION_TYPE_Construction,0.00718924
FLAG_DOCUMENT_13,0.0070168376
ORGANIZATION_TYPE_University,0.0069970926
REGION_RATING_CLIENT,0.0069571454
ELEVATORS_MEDI,0.0067530866
EMERGENCYSTATE_MODE_Unknown,0.006747079
FLOORSMAX_AVG,0.0066960417
AGE_YEARS,0.006661607
NAME_EDUCATION_TYPE_Lower secondary,0.0066286246
DEF_30_CNT_SOCIAL_CIRCLE,0.00652792
OWN_CAR_AGE,0.0064643156
ORGANIZATION_TYPE_Transport: type 3,0.0063868323
OCCUPATION_TYPE_Core staff,0.006374277
AMT_ANNUITY,0.006291412
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0061529023
ORGANIZATION_TYPE_Industry: type 7,0.005951719
NAME_TYPE_SUITE_Unknown,0.005916458
FLAG_PHONE,0.005902937
LIVE_REGION_NOT_WORK_REGION,0.005736386
ELEVATORS_AVG,0.005717912
